#---------------------------- KTU 1.54 1
149260	aġr	aġr				DULAT: NOT FOUND
149261	ḫld	ḫl[+d;ḫl/+d	/ḫ-l/,-d;ḫl,-d	vb,→;n.,→	to writhe (with birth pangs),;pain,	
#---------------------------- KTU 1.54 2
149262	ṯwṯk	ṯwṯk				DULAT: NOT FOUND
149263	akdn	akdn				DULAT: NOT FOUND
#---------------------------- KTU 1.54 3
149264	ṯrbn	ṯrbn				DULAT: NOT FOUND
149265	nnw	nnw				DULAT: NOT FOUND
#---------------------------- KTU 1.54 4
149266	gwxxx	gwxxx				DULAT: NOT FOUND
#---------------------------- KTU 1.54 5
149267						
#---------------------------- KTU 1.54 6
149268	xxxxxḫr	xxxxxḫr				DULAT: NOT FOUND
#---------------------------- KTU 1.54 7
149269	xxxxakd	xxxxakd				DULAT: NOT FOUND
#---------------------------- KTU 1.54 8
149270	xxxxrwtš	xxxxrwtš				DULAT: NOT FOUND
#---------------------------- KTU 1.54 9
149271	xxxršd	xxxršd				DULAT: NOT FOUND
#---------------------------- KTU 1.54 10
149272	xxx	xxx				
149273	alṯd	alṯd				DULAT: NOT FOUND
149274	aṯm	aṯm				DULAT: NOT FOUND
#---------------------------- KTU 1.54 11
149275	ṯwṯk	ṯwṯk				DULAT: NOT FOUND
149276	ṯnp	ṯnp				DULAT: NOT FOUND
149277	ṯy	ṯy				DULAT: NOT FOUND
#---------------------------- KTU 1.54 12
149278	aġr	aġr				DULAT: NOT FOUND
149279	aṯṯ	aṯṯ				DULAT: NOT FOUND
#---------------------------- KTU 1.54 13
149280	ṯwṯkd	ṯwṯkd				DULAT: NOT FOUND
149281	sp	sp/	sp	n.	bowl	
#---------------------------- KTU 1.54 14
149282	trḫ	trḫ[	/t-r-ḫ/	vb	to marry	
149283	štx	štx				DULAT: NOT FOUND
